gov,year,month,week,start_date,end_date,case,pop,area,density,density_log,precip,precip_scale,surf_wat,surf_wat_scale,temp,temp_scale,ndvi,ndvi_scale,petrol,petrol_center,food,food_center,exch_rate,exch_rate_center,econ_pc,attacks_3mo,attacks_3moCAT,ntl_mean,ntl_meanCAT,ntl_ratio,ntl_ratioCAT,recovery_ratio,mo_since_nadir,lat,lon
Abyan,2016,September,1,9/12/16,9/18/16,0,565146,16943,33.35572213,3.507229336,9.15,0.734926969,-0.203477578,-0.795567973,29.51,1.167471538,0.125832085,-0.586071654,185,-1.22755113,2282,-1.484743333,295,-1.537265102,-2.475556134,4,Intermediate,0.009749854,High,0.191885944,Medium,1.551656534,15,13.71268069,46.16408519
Abyan,2016,September,2,9/19/16,9/25/16,0,565407,16943,33.37112672,3.507691057,9.15,0.734926969,-0.204288256,-0.81221097,29.51,1.167471538,0.125613739,-0.588989461,185,-1.22755113,2282,-1.484743333,295,-1.537265102,-2.475556134,4,Intermediate,0.009749854,High,0.191885944,Medium,1.551656534,15,13.71268069,46.16408519
Abyan,2016,September,3,9/26/16,10/2/16,0,565667,16943,33.38647229,3.508150797,9.15,0.734926969,-0.209772703,-0.924805159,29.51,1.167471538,0.126330056,-0.579417155,185,-1.22755113,2282,-1.484743333,295,-1.537265102,-2.475556134,4,Intermediate,0.009749854,High,0.191885944,Medium,1.551656534,15,13.71268069,46.16408519
Abyan,2016,October,4,10/3/16,10/9/16,0,565919,16943,33.40134569,3.508596189,2.312,-0.725195189,-0.214003231,-1.011656736,25.86,0.386690967,0.126867294,-0.572237922,185,-1.22755113,2377,-1.3897099,300,-1.491084343,-2.391565517,4,Intermediate,0.014886595,Medium,0.248073945,Medium,2.369151619,16,13.71268069,46.16408519
Abyan,2016,October,5,10/10/16,10/16/16,0,566178,16943,33.41663224,3.509053747,2.312,-0.725195189,-0.216490793,-1.0627257,25.86,0.386690967,0.126265692,-0.580277266,185,-1.22755113,2377,-1.3897099,300,-1.491084343,-2.391565517,4,Intermediate,0.014886595,Medium,0.248073945,Medium,2.369151619,16,13.71268069,46.16408519
Abyan,2016,October,6,10/17/16,10/23/16,0,566428,16943,33.43138759,3.509495207,2.312,-0.725195189,-0.220552593,-1.146113338,25.86,0.386690967,0.124761687,-0.600375624,185,-1.22755113,2377,-1.3897099,300,-1.491084343,-2.391565517,4,Intermediate,0.014886595,Medium,0.248073945,Medium,2.369151619,16,13.71268069,46.16408519
Abyan,2016,October,7,10/24/16,10/30/16,0,566690,16943,33.44685121,3.509957648,2.312,-0.725195189,-0.218575143,-1.105516833,25.86,0.386690967,0.124761687,-0.600375624,185,-1.22755113,2377,-1.3897099,300,-1.491084343,-2.391565517,2,Intermediate,0.014886595,Medium,0.248073945,Medium,2.369151619,16,13.71268069,46.16408519
Abyan,2016,October,8,10/31/16,11/6/16,0,566951,16943,33.4622558,3.510418111,2.312,-0.725195189,-0.217529782,-1.084055859,25.86,0.386690967,0.121640135,-0.642089627,185,-1.22755113,2377,-1.3897099,300,-1.491084343,-2.391565517,2,Intermediate,0.014886595,Medium,0.248073945,Medium,2.369151619,16,13.71268069,46.16408519
Abyan,2016,November,9,11/7/16,11/13/16,0,567211,16943,33.47760137,3.510876599,1.2825,-0.945024928,-0.213898217,-1.009500828,23.25,-0.171620619,0.121640135,-0.642089627,185,-1.22755113,2415,-1.351696527,300,-1.491084343,-2.36923448,2,Intermediate,0.013375788,High,0.207732551,Medium,2.128711757,17,13.71268069,46.16408519
Abyan,2016,November,10,11/14/16,11/20/16,0,567471,16943,33.49294694,3.511334878,1.2825,-0.945024928,-0.213340117,-0.998043188,23.25,-0.171620619,0.118615545,-0.682507905,185,-1.22755113,2415,-1.351696527,300,-1.491084343,-2.36923448,0,Low,0.013375788,High,0.207732551,Medium,2.128711757,17,13.71268069,46.16408519
