oblast,year,month,date,mos,ntl_mean_raw,ntl_mean,ntl_mean_log,ntl_baseline,ntl_ratio,ntl_ratio_log,ntl_nadir,recovery_ratio,recovery_ratio_log,mo_since_nadir,built_pixels,total_pixels,built_perc,built_perc_log,attacks,attacksCAT,pop,pop_log,lat,lon
Cherkasy,2022,February,2/1/22,1,0.36463204,0.36463204,-1.008866543,0.558145861,0.653291667,-0.425731592,NA,NA,NA,NA,18283076,320547612,5.703700578,1.741115188,2,Low,1171487.326,13.97378472,49.2535589,31.3783288
Cherkasy,2022,March,3/1/22,2,0.038327619,0.038327619,-3.26158452,0.310933769,0.123266183,-2.093409172,NA,NA,NA,NA,18283076,320547612,5.703700578,1.741115188,2,Low,1171487.326,13.97378472,49.2535589,31.3783288
Cherkasy,2022,April,4/1/22,3,0.082437798,0.082437798,-2.495711234,0.212253044,0.388393949,-0.945735122,NA,NA,NA,NA,18283076,320547612,5.703700578,1.741115188,1,Low,1171487.326,13.97378472,49.2535589,31.3783288
Cherkasy,2022,May,5/1/22,4,0.046934798,0.046934798,-3.058995917,0.193092406,0.243069104,-1.414409497,NA,NA,NA,NA,18283076,320547612,5.703700578,1.741115188,0,None,1171487.326,13.97378472,49.2535589,31.3783288
Cherkasy,2022,June,6/1/22,5,NA,0.065289423,-2.728925231,0.179350235,0.364033105,-1.010510468,NA,NA,NA,NA,18283076,320547612,5.703700578,1.741115188,1,Low,1171487.326,13.97378472,49.2535589,31.3783288
Cherkasy,2022,July,7/1/22,6,0.083644047,0.083644047,-2.48118502,0.165608063,0.505072309,-0.683053674,0.056112111,1.490659423,0.399218588,1,18283076,320547612,5.703700578,1.741115188,2,Low,1171487.326,13.97378472,49.2535589,31.3783288
Cherkasy,2022,August,8/1/22,7,0.113808788,0.113808788,-2.173235537,0.157238799,0.723795838,-0.323245918,0.056112111,2.028239287,0.70716807,2,18283076,320547612,5.703700578,1.741115188,1,Low,1171487.326,13.97378472,49.2535589,31.3783288
Cherkasy,2022,September,9/1/22,8,0.074140444,0.074140444,-2.601794093,0.153426883,0.483229813,-0.727262935,0.056112111,1.321291298,0.278609514,3,18283076,320547612,5.703700578,1.741115188,2,Low,1171487.326,13.97378472,49.2535589,31.3783288
Cherkasy,2022,October,10/1/22,9,0.053593922,0.053593922,-2.926319613,0.21582904,0.248316548,-1.393050944,0.056112111,0.955122184,-0.045916005,4,18283076,320547612,5.703700578,1.741115188,3,Medium,1171487.326,13.97378472,49.2535589,31.3783288
Cherkasy,2022,November,11/1/22,10,0.204810709,0.204810709,-1.585669097,0.419602613,0.488106372,-0.717221921,0.056112111,3.650026801,1.29473451,5,18283076,320547612,5.703700578,1.741115188,3,Medium,1171487.326,13.97378472,49.2535589,31.3783288
Cherkasy,2022,December,12/1/22,11,0.449582189,0.449582189,-0.799436596,0.526273886,0.854274174,-0.15750309,0.056112111,8.012213068,2.080967011,6,18283076,320547612,5.703700578,1.741115188,1,Low,1171487.326,13.97378472,49.2535589,31.3783288
Cherkasy,2023,January,1/1/23,12,0.714746714,0.714746714,-0.335827045,0.527797073,1.354207422,0.303216355,0.056112111,12.73783326,2.544576562,7,17056740,320547612,5.321125275,1.671684799,0,None,1161312.943,13.96506177,49.2535589,31.3783288
Cherkasy,2023,February,2/1/23,13,0.777863801,0.777863801,-0.251203833,0.558145861,1.393656848,0.331931118,0.056112111,13.8626722,2.629199775,8,17056740,320547612,5.321125275,1.671684799,0,None,1161312.943,13.96506177,49.2535589,31.3783288
Cherkasy,2023,March,3/1/23,14,0.259684414,0.259684414,-1.348288178,0.310933769,0.835175976,-0.180112827,0.056112111,4.627956592,1.53211543,9,17056740,320547612,5.321125275,1.671684799,0,None,1161312.943,13.96506177,49.2535589,31.3783288
Cherkasy,2023,April,4/1/23,15,0.493507504,0.493507504,-0.706217215,0.212253044,2.325090348,0.843758898,0.056112111,8.795026514,2.174186393,10,17056740,320547612,5.321125275,1.671684799,2,Low,1161312.943,13.96506177,49.2535589,31.3783288
Cherkasy,2023,May,5/1/23,16,0.356783271,0.356783271,-1.030626766,0.193092406,1.847733316,0.613959653,0.056112111,6.358400435,1.849776842,11,17056740,320547612,5.321125275,1.671684799,1,Low,1161312.943,13.96506177,49.2535589,31.3783288
Cherkasy,2023,June,6/1/23,17,NA,0.436515153,-0.82893219,0.179350235,2.433869981,0.889482575,0.056112111,7.779339348,2.051471418,12,17056740,320547612,5.321125275,1.671684799,2,Low,1161312.943,13.96506177,49.2535589,31.3783288
Cherkasy,2023,July,7/1/23,18,0.516247034,0.516247034,-0.66116988,0.165608063,3.117281995,1.136961467,0.056112111,9.200278243,2.219233727,13,17056740,320547612,5.321125275,1.671684799,3,Medium,1161312.943,13.96506177,49.2535589,31.3783288
