gov,year,month,date,mos,ntl_mean,ntl_mean_const,ntl_mean_const_log,ntl_baseline,ntl_ratio,ntl_ratio_const,ntl_ratio_const_log,ntl_nadir,recovery_ratio,recovery_ratio_log,mo_since_nadir,built_pixels,total_pixels,built_perc,built_perc_log,attacks,attacks_scaled,attacksCAT,pop,pop_log,diesel,diesel_log,lat,lon
Abyan,2015,March,3/1/15,1,0.071559773,0.071569773,-2.637082459,0.052885092,1.353118067,1.353128067,0.302418999,NA,NA,NA,NA,1637931,168880526,0.969875591,-0.030587472,6,-0.296696409,Medium,591436.2994,13.29030926,NA,NA,13.71268069,46.16408519
Abyan,2015,April,4/1/15,2,0.022908998,0.022918998,-3.775789105,0.049086162,0.466709908,0.466719908,-0.76202597,NA,NA,NA,NA,1637931,168880526,0.969875591,-0.030587472,7,-0.259769684,Medium,591436.2994,13.29030926,NA,NA,13.71268069,46.16408519
Abyan,2015,May,5/1/15,3,0.006072725,0.006082725,-5.102302493,0.048626377,0.124885409,0.124895409,-2.08027862,NA,NA,NA,NA,1637931,168880526,0.969875591,-0.030587472,7,-0.259769684,Medium,591436.2994,13.29030926,NA,NA,13.71268069,46.16408519
Abyan,2015,June,6/1/15,4,0.0064943,0.0065043,-5.035291782,0.044753656,0.145112166,0.145122166,-1.930179367,NA,NA,NA,NA,1637931,168880526,0.969875591,-0.030587472,6,-0.296696409,Medium,591436.2994,13.29030926,NA,NA,13.71268069,46.16408519
Abyan,2015,July,7/1/15,5,0.038046233,0.038056233,-3.268690397,0.055343798,0.687452517,0.687462517,-0.374747972,0.006283513,6.05493026,1.800872859,1,1637931,168880526,0.969875591,-0.030587472,19,0.183351016,High,591436.2994,13.29030926,NA,NA,13.71268069,46.16408519
Abyan,2015,August,8/1/15,6,0.009045405,0.009055405,-4.704393462,0.06147114,0.147148808,0.147158808,-1.916242949,0.006283513,1.43954584,0.364327675,2,1637931,168880526,0.969875591,-0.030587472,10,-0.148989509,Medium,591436.2994,13.29030926,NA,NA,13.71268069,46.16408519
Abyan,2015,September,9/1/15,7,0.034736038,0.034746038,-3.359689728,0.050810673,0.68363664,0.68364664,-0.380314103,0.006283513,5.528123838,1.709848488,3,1637931,168880526,0.969875591,-0.030587472,0,-0.518256759,None,591436.2994,13.29030926,NA,NA,13.71268069,46.16408519
Abyan,2015,October,10/1/15,8,0.024069286,0.024079286,-3.72640331,0.0600087,0.401096605,0.401106605,-0.913528039,0.006283513,3.830546066,1.343007369,4,1637931,168880526,0.969875591,-0.030587472,0,-0.518256759,None,591436.2994,13.29030926,NA,NA,13.71268069,46.16408519
Abyan,2015,November,11/1/15,9,0.036038974,0.036048974,-3.322876876,0.064389466,0.559702949,0.559712949,-0.580331218,0.006283513,5.735481728,1.746671745,5,1637931,168880526,0.969875591,-0.030587472,0,-0.518256759,None,591436.2994,13.29030926,NA,NA,13.71268069,46.16408519
Abyan,2015,December,12/1/15,10,0.055253136,0.055263136,-2.895649211,0.065000444,0.85004244,0.85005244,-0.162457237,0.006283513,8.793351108,2.17399588,6,1637931,168880526,0.969875591,-0.030587472,0,-0.518256759,None,591436.2994,13.29030926,NA,NA,13.71268069,46.16408519
