mos,month,Date,ukraine,cherkasy,chernihiv,chernivtsi,crimea,dnipropetrovsk,donetsk,ivanoFrankivsk,kharkiv,kherson,khmelnytskyy,kyiv,kyivCity,kirovohrad,lviv,luhansk,mykolayiv,odesa,poltava,rivne,sevastopol,sumy,ternopil,vinnytsya,volyn,zakarpattia,zaporizhzhya,zhytomyr
1,January,1/1/19,0.418861359,0.437253863,0.052987602,0.564925373,0.475092888,0.717879772,0.761876047,0.444756091,0.343994468,0.346647501,0.260155708,0.522903383,14.5884943,0.128273547,1.103087902,0.205530271,0.442560226,0.739244938,0.324394971,0.192522302,3.698379755,0.120540649,0.258572549,0.278508455,0.250618815,0.40960899,0.442959756,0.214362144
2,February,2/1/19,0.370935947,0.743925631,0.183939233,0.49303937,0.332586497,0.630404055,0.601495028,0.396161348,0.434399396,0.106169552,0.25089094,0.750590324,13.31472683,0.234530762,0.712062895,0.188871294,0.182551116,0.336849988,0.375664741,0.195206836,4.106033802,0.194387242,0.25688231,0.208315939,0.139734134,0.445294648,0.226796165,0.196432456
3,March,3/1/19,0.254266083,0.372649342,0.037931018,0.224946052,0.382161736,0.55591166,0.40802753,0.154353455,0.273977399,0.114528462,0.120615758,0.594735622,12.30535889,0.091966525,0.507495701,0.116483383,0.161190674,0.30978629,0.210683107,0.085872136,4.574220181,0.111349486,0.098191172,0.124986559,0.068474516,0.174432606,0.211325899,0.104404576
4,April,4/1/19,0.279275507,0.220202982,0.050514929,0.290720463,0.422197431,0.656734347,0.484423816,0.210490838,0.254775167,0.134781256,0.141685784,0.663897097,12.87399387,0.110190772,0.560105026,0.130495012,0.185898691,0.33864218,0.23215276,0.107504442,4.572664738,0.129435703,0.119781218,0.149816796,0.081317253,0.198881745,0.227765366,0.12475355
5,May,5/1/19,0.325544715,0.267001837,0.062209997,0.402521789,0.391494393,0.759777784,0.526246428,0.241608128,0.330027819,0.145594299,0.238194689,0.647836328,10.71736813,0.193608925,0.547659039,0.144054115,0.241491184,0.357724458,0.313386023,0.131484017,4.12452364,0.187031552,0.234146729,0.207888409,0.121022552,0.286703795,0.241881371,0.111304209
6,June,6/1/19,0.314474032,0.197725378,0.073905066,0.410975695,0.367158979,0.675981462,0.561385185,0.231843695,0.356657938,0.14551013,0.212553375,0.527412266,11.50466538,0.158878047,0.473185241,0.178273373,0.223936186,0.35131006,0.302800387,0.160107844,3.96200943,0.18615822,0.188759119,0.175948471,0.143591523,0.309415594,0.279023886,0.121797368
7,July,7/1/19,0.303403348,0.128448918,0.085600134,0.4194296,0.342823565,0.59218514,0.596523941,0.222079262,0.383288056,0.14542596,0.18691206,0.406988204,12.29196262,0.124147169,0.398711443,0.21249263,0.206381187,0.344895661,0.292214751,0.18873167,3.79949522,0.185284888,0.143371508,0.144008532,0.166160494,0.332127392,0.316166401,0.132290527
8,August,8/1/19,0.374860883,0.166887104,0.097295202,0.381057531,0.363759667,0.575291992,0.506700859,0.372350864,0.346376673,0.149936482,0.164295852,0.487804711,13.134552,0.227898624,0.433653911,0.169180423,0.302498013,0.423690408,0.339502141,0.105177924,4.141482353,0.184411556,0.129730088,0.142078365,0.097807869,0.289509093,0.308557719,0.12517493
9,September,9/1/19,0.446318418,0.205325291,0.090215378,0.342685461,0.358162284,0.558398843,0.416877776,0.522622466,0.309465289,0.118396156,0.141679645,0.568621219,12.73330498,0.331650078,0.468596379,0.125868216,0.207613498,0.337393165,0.386789531,0.211887151,4.141241074,0.148010269,0.116088669,0.140148197,0.307485342,0.246890793,0.201536328,0.118059332
10,October,10/1/19,0.25594604,0.243763477,0.040781699,0.23381649,0.361013979,0.594548762,0.421567857,0.176433697,0.231555924,0.114936553,0.119063437,0.649437726,11.93715096,0.113179773,0.503538847,0.114384234,0.174862787,0.315542251,0.237551853,0.079041705,4.309034824,0.102539487,0.102447249,0.13821803,0.068718925,0.204272494,0.218317896,0.110943735
11,November,11/1/19,0.331618428,0.52575469,0.054917708,0.378021955,0.491943985,0.562875569,0.462476045,0.293438882,0.277221352,0.26548484,0.224768966,0.705358267,11.94961739,0.135590971,0.640272319,0.12669529,0.219427615,0.396785021,0.254443079,0.128346145,4.666688442,0.100922316,0.200848848,0.432218611,0.127273485,0.283909261,0.246692166,0.198518723
12,December,12/1/19,0.350424677,0.510816991,0.0527822,0.372315884,0.494916558,0.833325922,0.514651954,0.324926734,0.47738716,0.200599566,0.207030833,0.695309937,11.8625164,0.196888715,0.706262589,0.217196062,0.241843492,0.337497681,0.298077047,0.089502059,4.544981956,0.122914851,0.192749262,0.188148677,0.082032099,0.312691301,0.328093052,0.117924616
