YM2,mos,yemen,abyan,aden,bayda,aldhale,hudaydah,jawf,maharah,mahwit,amran,dhamar,hadramawt,hajjah,ibb,lahj,marib,raymah,saada,sanaaCity,sanaa,shabwah,taizz
1/1/12,1,0.094964733,0.014705658,5.186135189,0.003026107,0.023095683,0.174537397,0.000180451,0.005826669,0.001736665,0.013941019,0.020459563,0.155115741,0.045946352,0.064851235,0.069181613,0.12537697,0.002512014,0.065333137,4.267035281,0.055043058,0.036199391,0.196464226
2/1/12,2,0.096787635,0.014860855,5.56600231,0.015340465,0.043705895,0.170893193,7.42E-05,0.004189488,0.005359674,0.029387596,0.045383924,0.14362736,0.035361826,0.090077195,0.07217556,0.123980903,0.001474443,0.059164494,8.237230111,0.110495763,0.032397586,0.198741681
3/1/12,3,0.109690151,0.018907456,5.810514151,0.040051812,0.086410337,0.223310968,0.000117708,0.004540691,0.060887669,0.079227229,0.084073378,0.140531074,0.056360725,0.188792335,0.098651164,0.12125638,0.001867832,0.060087914,12.78878357,0.192799099,0.029559755,0.247753744
4/1/12,4,0.116145169,0.022002165,5.149248991,0.01932912,0.059064965,0.276895958,0.000796992,0.004487355,0.070060306,0.058855857,0.054831412,0.161495617,0.100407868,0.153539703,0.100380441,0.129091466,0.018302977,0.081195221,10.35471299,0.16207483,0.051577876,0.212602193
5/1/12,5,0.108771493,0.015984207,4.330387062,0.011403176,0.048630137,0.209039092,0.000229712,0.003088468,0.011429586,0.032325448,0.058110502,0.156709429,0.081568412,0.114148272,0.089547102,0.143113469,0.005930039,0.086040447,10.60721433,0.1637347,0.045434977,0.206507904
6/1/12,6,0.123552475,0.024453926,3.00829001,0.013294772,0.044058738,0.217708738,0.000273788,0.006404646,0.009169876,0.025877401,0.058189303,0.182119841,0.085804725,0.14202419,0.15565769,0.208691039,0.006692825,0.085900929,10.6839389,0.203648121,0.040551441,0.26264893
7/1/12,7,0.121716882,0.037427243,3.821178849,0.032353664,0.077521794,0.252338482,0.000481722,0.030769591,0.048879765,0.040448644,0.079616497,0.136393222,0.093256431,0.1560193,0.167118706,0.256585556,0.015388133,0.095318703,12.01606107,0.208217846,0.075393345,0.254132973
8/1/12,8,0.154442539,0.052134096,4.190785678,0.045934297,0.098982981,0.298289769,0.000295567,0.02638382,0.061808777,0.059473629,0.132036982,0.157156182,0.115536483,0.312068427,0.103929225,0.29894409,0.012611797,0.091617444,15.05360716,0.259524058,0.224674695,0.381955632
9/1/12,9,0.134144247,0.035679806,4.217942789,0.019916475,0.058748444,0.250411696,0.000303345,0.009277315,0.027288061,0.077136132,0.084975605,0.151124987,0.081375739,0.143095747,0.117210429,0.191135375,0.002870074,0.085999443,17.18946813,0.287545959,0.156494773,0.280069938
10/1/12,10,0.13324908,0.049223069,6.187897167,0.0499062,0.115104816,0.264857813,0.000255121,0.004424975,0.101966691,0.122540493,0.144027369,0.131135602,0.111607948,0.28675358,0.11676054,0.161595878,0.004301547,0.083885253,19.32074777,0.300109218,0.104020484,0.327791182
11/1/12,11,0.132524039,0.058830724,7.00190641,0.069714362,0.13090494,0.261675493,0.000412237,0.003976458,0.148989542,0.158433751,0.156108598,0.125855852,0.099757282,0.376120098,0.128040185,0.123851577,0.00175841,0.06946153,20.66366509,0.336841376,0.062760539,0.337579035
12/1/12,12,0.124523913,0.057396676,6.927296356,0.051812314,0.099268369,0.250571535,0.000442831,0.003605292,0.108380582,0.137555914,0.117769721,0.128266125,0.075485437,0.293510222,0.107320488,0.122921751,0.001715097,0.063661861,19.94726025,0.311267655,0.038206414,0.299712979
1/1/13,13,0.131678097,0.050969878,6.418370873,0.065178552,0.099823578,0.235822449,0.000413793,0.003739099,0.118098867,0.145429017,0.140752855,0.137236844,0.075863277,0.335858645,0.084983531,0.140571321,0.001037571,0.066968459,20.39604848,0.322734124,0.076573389,0.292156822
2/1/13,14,0.138654804,0.062312601,6.991912182,0.070665744,0.131667705,0.258969739,0.000816178,0.00388507,0.165113395,0.169865828,0.167697004,0.133772847,0.090846762,0.390425202,0.114886364,0.135791174,0.001452599,0.068128281,21.26001052,0.363662826,0.082574571,0.324059901
3/1/13,15,0.141882773,0.059484175,6.484806465,0.064370101,0.116080324,0.248800223,0.000622245,0.004483301,0.141086302,0.171242,0.14934718,0.141243821,0.093036233,0.330699407,0.119181489,0.178041075,0.002373141,0.067278453,21.00215903,0.345136639,0.112716461,0.294821132
4/1/13,16,0.132530669,0.052372158,5.678971692,0.061522657,0.073215027,0.253518567,0.000484314,0.00447176,0.098334515,0.109823336,0.09634748,0.136664079,0.10446652,0.219799061,0.094140316,0.217633397,0.005249918,0.074860995,16.72880464,0.263954093,0.149701342,0.25310537
5/1/13,17,0.13579921,0.061495256,4.702628537,0.0457735,0.054732254,0.267161073,0.000286751,0.004249373,0.071260264,0.103226316,0.062662524,0.146953617,0.13847713,0.118205959,0.097134246,0.210720096,0.003777336,0.087836486,15.00136915,0.271013661,0.209992914,0.173230776
6/1/13,18,0.14110955,0.048330892,3.808795745,0.033819489,0.042911997,0.200051306,0.0003049,0.006052818,0.06165887,0.101151687,0.087458431,0.160288355,0.108292879,0.113419263,0.115761819,0.266332653,0.001847679,0.09254067,16.84375986,0.296567896,0.203037052,0.187384745
7/1/13,19,0.14680729,0.05482207,4.775805951,0.053393484,0.094276671,0.271527833,0.000608763,0.011776613,0.100702973,0.078927274,0.09813558,0.146591068,0.134084994,0.287630322,0.120588722,0.294294472,0.040084196,0.10513565,16.93101634,0.305447356,0.188324871,0.293367369
8/1/13,20,0.136784753,0.055558952,5.129925257,0.044444693,0.046300332,0.200407979,0.000589577,0.0249543,0.072439759,0.079748454,0.060361981,0.135446728,0.072585327,0.159742833,0.10294045,0.211292016,0.001984527,0.071885713,16.84023171,0.243510483,0.254535572,0.204889557
9/1/13,21,0.116593994,0.045853659,5.278336227,0.04439556,0.038169365,0.213210625,0.000463573,0.003195763,0.071664009,0.095649106,0.074606809,0.121508705,0.089928436,0.127223709,0.094069304,0.192147801,0.002642481,0.086494776,16.81542917,0.26180705,0.113229433,0.180503683
10/1/13,22,0.116908481,0.052686748,5.772385902,0.050905599,0.038786841,0.234354809,0.000683433,0.003699799,0.064494681,0.079751194,0.066890179,0.122169062,0.097360124,0.115760891,0.103390975,0.16185962,0.00245331,0.081282291,17.93682823,0.232177248,0.104932174,0.190921382
11/1/13,23,0.120281736,0.060189773,6.593414217,0.041740179,0.068887505,0.244877072,0.000745139,0.003903472,0.061038271,0.119221057,0.105181672,0.120324424,0.0624437,0.210287444,0.108596838,0.154644815,0.001531896,0.063456839,18.40279387,0.230366302,0.100165718,0.233920549
12/1/13,24,0.128514848,0.069302995,7.015742355,0.058932041,0.089316107,0.26358737,0.000775214,0.004242511,0.11113572,0.164239255,0.124373757,0.131515106,0.071406766,0.284809341,0.115752635,0.130793628,0.001911524,0.060538962,18.96080086,0.236278264,0.08686768,0.274985441
1/1/14,25,0.13183514,0.051315036,6.518341995,0.053272886,0.083032379,0.265198957,0.000697433,0.004097788,0.122023388,0.191059025,0.129917955,0.125951128,0.061668001,0.310271927,0.091124835,0.153928411,0.001496287,0.067667175,20.36575341,0.289205816,0.122745558,0.278032446
2/1/14,26,0.123273208,0.060896644,6.201877534,0.035712531,0.055432752,0.243980928,0.000523205,0.004170773,0.06121545,0.111230461,0.099032355,0.11670057,0.050975878,0.222863571,0.086623847,0.167937609,0.002129751,0.065943348,17.90989994,0.256868827,0.154297102,0.258254992
3/1/14,27,0.127080698,0.080263644,7.27437898,0.027706188,0.078201536,0.258362713,0.000848328,0.004643307,0.035373849,0.080768731,0.082664159,0.116186724,0.077232009,0.187916522,0.12534585,0.180275879,0.00274287,0.080450721,18.25913636,0.249257559,0.15831455,0.23546381
4/1/14,28,0.124085611,0.072884162,6.635499721,0.014768743,0.046497509,0.273415441,0.000860254,0.004771188,0.055207316,0.072307532,0.056526362,0.116328786,0.087331098,0.117136862,0.110352438,0.160360074,0.005239934,0.094326625,17.1066877,0.240443296,0.188046317,0.18651662
5/1/14,29,0.108712029,0.068399669,5.554737142,0.015233267,0.030915318,0.28047898,0.000901737,0.004803626,0.041335114,0.056270947,0.03910377,0.111548874,0.130279752,0.075617895,0.112091568,0.206138955,0.012444196,0.120672801,12.35155345,0.19442265,0.091798667,0.165869995
6/1/14,30,0.115852018,0.061476151,4.815366838,0.017069031,0.023858448,0.201582618,0.000703656,0.003322708,0.002822293,0.022179192,0.037451611,0.107838316,0.086262637,0.070704906,0.090660255,0.224536066,0.001777778,0.100421574,11.04428646,0.169354755,0.284079186,0.162966051
7/1/14,31,0.147081871,0.07378208,5.42761713,0.071739714,0.066666667,0.234280433,0.001346642,0.00798317,0.123676013,0.041238541,0.088658108,0.125104012,0.128272946,0.126627243,0.142817143,0.279676483,0.023788497,0.109171739,13.76313849,0.259064815,0.375119227,0.188275141
8/1/14,32,0.11713816,0.076720372,4.804852684,0.022149764,0.043135119,0.198782268,0.000295048,0.008158148,0.02688696,0.067572639,0.044884551,0.097834197,0.066317186,0.103223916,0.119326043,0.203482669,0.014245653,0.082722367,13.12501319,0.179286359,0.284397979,0.200516839
9/1/14,33,0.132617658,0.070898555,5.017735422,0.035187708,0.063257576,0.290168824,0.001325382,0.037514348,0.040600904,0.089753435,0.07162759,0.116676561,0.098005706,0.104232456,0.11249753,0.226973778,0.011365157,0.108323902,11.93075301,0.187791978,0.267464217,0.21330196
10/1/14,34,0.129675795,0.078116284,6.708376658,0.032152668,0.070771067,0.275909734,0.000692766,0.00431113,0.053729625,0.107232623,0.091052847,0.11822875,0.071063958,0.123756842,0.127992424,0.189899788,0.006026345,0.108356706,13.46719328,0.212004857,0.237703162,0.217227538
11/1/14,35,0.124059075,0.074147901,6.724581182,0.018699332,0.050933998,0.268745244,0.00055691,0.003992677,0.015609497,0.077667681,0.078046719,0.119075341,0.057601842,0.148539509,0.117017457,0.192931759,0.004556407,0.078405419,14.45434439,0.186366709,0.194647853,0.233698004
12/1/14,36,0.127989542,0.068301661,7.133044479,0.015447663,0.056351183,0.254295122,0.000498315,0.004269023,0.005953225,0.063925467,0.101488265,0.122878328,0.045125613,0.193797277,0.118417326,0.178734819,0.001572739,0.065170825,17.08367562,0.233640018,0.184208675,0.250200712
1/1/15,37,0.127066045,0.069663122,7.051935284,0.023956495,0.059397053,0.231854256,0.000500907,0.004060671,0.049096386,0.072602704,0.097146128,0.12648893,0.044867881,0.205838086,0.10661726,0.204893291,0.001310616,0.066842166,16.30036861,0.230718184,0.159479332,0.252327372
2/1/15,38,0.127690944,0.07009503,7.113200451,0.017098064,0.052501038,0.252578937,0.000566243,0.004345439,0.034549965,0.078130525,0.105702293,0.122300393,0.070315784,0.178897553,0.103756588,0.188903693,0.002195282,0.073735833,16.20753025,0.238023045,0.178859947,0.251824044
